"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","Airport_fee","cbd_congestion_fee","trip_duration_min","pickup_date","pickup_hour"
"1","2025-01-01T00:27:40.000Z","2025-01-01T00:59:30.000Z","1","0.0","1","N","168","76","1","50.5","0.0","0.5","0.0","6.94","1.0","58.94","0.0","0.0","0.0","31.833333333333332","2025-01-01","0"
"2","2025-01-01T00:44:03.000Z","2025-01-01T00:46:24.000Z","1","0.06","1","N","237","141","4","4.4","1.0","0.5","0.0","0.0","1.0","9.4","2.5","0.0","0.0","2.35","2025-01-01","0"
"1","2025-01-01T00:43:22.000Z","2025-01-01T00:46:18.000Z","1","0.0","5","N","48","48","1","5.0","0.0","0.0","3.0","0.0","1.0","9.0","0.0","0.0","0.0","2.933333333333333","2025-01-01","0"
"1","2025-01-01T00:14:57.000Z","2025-01-01T00:17:44.000Z","1","0.0","1","N","79","79","3","3.0","3.5","0.5","0.0","0.0","1.0","8.0","2.5","0.0","0.0","2.783333333333333","2025-01-01","0"
"2","2025-01-01T00:45:50.000Z","2025-01-01T00:48:40.000Z","3","0.02","5","N","107","79","1","24.7","1.0","0.5","0.01","0.0","1.0","29.71","2.5","0.0","0.0","2.8333333333333335","2025-01-01","0"
"1","2025-01-01T00:34:58.000Z","2025-01-01T01:09:03.000Z","1","0.0","99","N","78","139","1","53.5","0.0","0.5","0.0","6.94","1.0","61.94","0.0","0.0","0.0","34.083333333333336","2025-01-01","0"
"1","2025-01-01T00:22:03.000Z","2025-01-01T00:24:00.000Z","1","0.0","1","N","237","237","1","3.7","3.5","0.5","1.7","0.0","1.0","10.4","2.5","0.0","0.0","1.95","2025-01-01","0"
"1","2025-01-01T00:37:13.000Z","2025-01-01T01:26:20.000Z","1","0.0","99","N","49","247","1","40.5","0.0","0.5","0.0","0.0","1.0","42.0","0.0","0.0","0.0","49.11666666666667","2025-01-01","0"
"2","2025-01-01T00:08:22.000Z","2025-01-01T00:10:16.000Z","2","0.03","1","N","138","138","4","3.7","6.0","0.5","0.0","0.0","1.0","12.95","0.0","1.75","0.0","1.9","2025-01-01","0"
"2","2025-01-01T00:49:36.000Z","2025-01-01T00:54:30.000Z","1","0.06","1","N","186","68","1","5.8","1.0","0.5","2.16","0.0","1.0","12.96","2.5","0.0","0.0","4.9","2025-01-01","0"
